time,torque,angle,rpm,step
168.5,0.71,21,58,1
169.0,0.68,21,58,1
169.5,0.68,21,58,1
170.0,0.71,21,58,1
170.5,0.71,22,58,1
171.0,0.71,22,59,1
171.5,0.71,22,59,1
172.0,0.71,22,59,1
172.5,0.74,22,59,1
175.0,0.84,25,63,1
175.5,0.84,26,63,1
176.0,0.81,26,63,1
176.5,0.84,26,65,1
177.0,0.87,26,65,1
177.5,0.84,26,65,1
178.0,0.81,26,65,1
178.5,0.87,27,65,1
179.0,0.84,27,65,1
179.5,0.78,27,65,1
180.0,0.81,27,65,1
180.5,0.84,27,65,1
181.0,0.84,27,65,1
181.5,0.84,27,66,1
182.0,0.84,28,66,1
182.5,0.81,28,66,1
183.0,0.81,28,66,1
183.5,0.84,28,66,1
184.0,0.81,28,67,1
184.5,0.87,28,67,1
185.0,0.93,29,67,1
185.5,0.93,29,67,1
186.0,0.9,29,67,1
186.5,0.9,29,68,1
187.0,0.9,29,68,1
187.5,0.99,29,68,1
188.0,0.9,30,69,1
188.5,0.93,30,69,1
189.0,0.96,30,69,1
189.5,0.99,30,69,1
190.0,0.9,30,69,1
190.5,0.96,30,69,1
191.0,0.96,31,69,1
191.5,0.99,31,70,1
192.0,0.99,31,70,1
192.5,0.96,31,70,1
193.0,0.99,31,70,1
193.5,0.96,32,70,1
194.0,1.05,32,69,1
194.5,1.05,32,69,1
195.0,1.02,32,69,1
195.5,1.05,32,70,1
196.0,1.05,32,70,1
196.5,1.02,33,70,1
197.0,1.08,33,70,1
197.5,1.02,33,70,1
198.0,1.05,33,70,1
198.5,1.05,33,70,1
199.0,1.05,33,70,1
199.5,1.08,34,70,1
200.0,1.08,34,70,1
200.5,1.08,34,71,1
201.0,1.11,34,71,1
201.5,1.14,34,70,1
202.0,1.17,34,70,1
202.5,1.14,35,70,1
203.0,1.14,35,70,1
203.5,1.17,35,70,1
204.0,1.17,35,71,1
204.5,1.2,35,71,1
214.0,1.95,42,68,1
214.5,1.98,42,67,1
215.0,1.98,42,67,1
215.5,1.98,42,67,1
216.0,2.01,42,68,1
216.5,2.04,42,68,1
217.0,2.13,43,67,1
217.5,2.13,43,67,1
218.0,2.13,43,67,1
218.5,2.19,43,68,1
219.0,2.22,43,68,1
219.5,2.28,43,67,1
220.0,2.31,44,67,1
220.5,2.37,44,67,1
221.0,2.37,44,67,1
221.5,2.37,44,67,1
222.0,2.43,44,66,1
222.5,2.43,44,66,1
223.0,2.45,45,66,1
223.5,2.51,45,66,1
224.0,2.51,45,66,1
224.5,2.57,45,65,1
225.0,2.6,45,65,1
225.5,2.63,45,65,1
226.0,2.69,45,65,1
226.5,2.72,46,65,1
227.0,2.78,46,65,1
227.5,2.78,46,65,1
228.0,2.84,46,65,1
228.5,2.84,46,66,1
229.0,2.87,46,66,1
229.5,2.93,47,66,1
230.0,2.9,47,66,1
230.5,2.9,47,66,1
231.0,2.99,47,65,1
231.5,2.99,47,65,1
232.0,3.05,47,65,1
232.5,3.15,47,65,1
233.0,3.15,48,65,1
233.5,3.18,48,64,1
234.0,3.21,48,64,1
234.5,3.24,48,62,1
235.0,3.27,48,62,1
235.5,3.24,48,62,1
236.0,3.33,48,61,1
236.5,3.3,49,61,1
237.0,3.36,49,61,1
237.5,3.36,49,61,1
238.0,3.39,49,61,1
238.5,3.39,49,60,1
239.0,3.45,49,60,1
239.5,3.54,50,60,1
240.0,3.54,50,60,1
240.5,3.57,50,60,1
241.0,3.66,50,60,1
241.5,3.69,50,60,1
242.0,3.69,50,59,1
242.5,3.66,50,59,1
243.0,3.69,50,59,1
243.5,3.72,51,59,1
247.0,4.23,53,57,1
247.5,4.23,53,56,1
248.0,4.23,54,56,1
248.5,4.26,54,56,1
249.0,4.29,54,56,1
249.5,4.23,54,56,1
250.0,4.29,54,56,1
250.5,4.35,54,56,1
251.0,4.38,54,56,1
251.5,4.32,54,56,1
252.0,4.35,55,56,1
252.5,4.41,55,56,1
253.0,4.41,55,56,1
253.5,4.47,55,56,1
254.0,4.44,55,56,1
254.5,4.44,55,56,1
255.0,4.47,55,55,1
255.5,4.47,55,55,1
256.0,4.5,56,55,1
256.5,4.53,56,55,1
257.0,4.53,56,55,1
257.5,4.53,56,54,1
258.0,4.59,56,54,1
258.5,4.62,56,54,1
259.0,4.62,56,54,1
259.5,4.59,57,54,1
260.0,4.62,57,53,1
260.5,4.65,57,53,1
261.0,4.68,57,53,1
261.5,4.74,57,53,1
262.0,4.68,57,53,1
262.5,4.71,57,52,1
263.0,4.74,57,52,1
263.5,4.71,58,53,1
264.0,4.71,58,53,1
264.5,4.74,58,53,1
265.0,4.71,58,53,1
265.5,4.8,58,53,1
266.0,4.8,58,54,1
266.5,4.8,58,54,1
267.0,4.83,58,54,1
267.5,4.8,59,54,1
268.0,4.8,59,54,1
268.5,4.8,59,55,1
269.0,4.86,59,55,1
269.5,4.89,59,55,1
270.0,4.89,59,55,1
270.5,4.89,59,55,1
271.0,4.86,60,55,1
271.5,4.91,60,55,1
272.0,4.89,60,55,1
272.5,4.89,60,55,1
273.0,4.91,60,55,1
273.5,4.97,60,55,1
274.0,4.97,60,55,1
274.5,4.97,60,55,1
275.0,5.0,61,54,1
275.5,5.03,61,54,1
276.0,4.97,61,54,1
276.5,5.0,61,54,1
287.0,4.23,53,57,1
287.5,4.23,53,56,1
288.0,4.23,54,56,1
288.5,4.26,54,56,1
289.0,4.29,54,56,1
289.5,4.23,54,56,1
290.0,4.29,54,56,1
290.5,4.35,54,56,1
291.0,4.38,54,56,1
291.5,4.32,54,56,1
292.0,4.35,55,56,1
292.5,4.41,55,56,1
293.0,4.41,55,56,1
293.5,4.47,55,56,1
294.0,4.44,55,56,1
294.5,4.44,55,56,1
295.0,4.47,55,55,1
295.5,4.47,55,55,1
296.0,4.5,56,55,1
296.5,4.53,56,55,1
297.0,4.53,56,55,1
297.5,4.53,56,54,1
298.0,4.59,56,54,1
298.5,4.62,56,54,1
299.0,4.62,56,54,1
299.5,4.59,57,54,1
300.0,4.62,57,53,1
300.5,4.65,57,53,1
301.0,4.68,57,53,1
301.5,4.74,57,53,1
302.0,4.68,57,53,1
302.5,4.71,57,52,1
303.0,4.74,57,52,1
303.5,4.71,58,53,1
304.0,4.71,58,53,1
304.5,4.74,58,53,1
305.0,4.71,58,53,1
305.5,4.8,58,53,1
306.0,4.8,58,54,1
306.5,4.8,58,54,1
307.0,4.83,58,54,1
307.5,4.8,59,54,1
308.0,4.8,59,54,1
308.5,4.8,59,55,1
309.0,4.86,59,55,1
309.5,4.89,59,55,1
310.0,4.89,59,55,1
310.5,4.89,59,55,1
311.0,4.86,60,55,1
311.5,4.91,60,55,1
312.0,4.89,60,55,1
312.5,4.89,60,55,1
313.0,4.91,60,55,1
313.5,4.97,60,55,1
314.0,4.97,60,55,1
314.5,4.97,60,55,1
315.0,5.0,61,54,1
315.5,5.03,61,54,1
316.0,4.97,61,54,1
316.5,5.0,61,54,1
325.0,4.23,53,57,1
325.5,4.23,53,56,1
326.0,4.23,54,56,1
326.5,4.26,54,56,1
327.0,4.29,54,56,1
327.5,4.23,54,56,1
328.0,4.29,54,56,1
328.5,4.35,54,56,1
329.0,4.38,54,56,1
329.5,4.32,54,56,1
330.0,4.35,55,56,1
330.5,4.41,55,56,1
331.0,4.41,55,56,1
331.5,4.47,55,56,1
332.0,4.44,55,56,1
332.5,4.44,55,56,1
333.0,4.47,55,55,1
333.5,4.47,55,55,1
334.0,4.5,56,55,1
334.5,4.53,56,55,1
335.0,4.53,56,55,1
335.5,4.53,56,54,1
336.0,4.59,56,54,1
336.5,4.62,56,54,1
337.0,4.62,56,54,1
337.5,4.59,57,54,1
338.0,4.62,57,53,1
338.5,4.65,57,53,1
339.0,4.68,57,53,1
339.5,4.74,57,53,1
340.0,4.68,57,53,1
340.5,4.71,57,52,1
341.0,4.74,57,52,1
341.5,4.71,58,53,1
342.0,4.71,58,53,1
342.5,4.74,58,53,1
343.0,4.71,58,53,1
343.5,4.8,58,53,1
344.0,4.8,58,54,1
344.5,4.8,58,54,1
345.0,4.83,58,54,1
345.5,4.8,59,54,1
346.0,4.8,59,54,1
346.5,4.8,59,55,1
347.0,4.86,59,55,1
347.5,4.89,59,55,1
348.0,4.89,59,55,1
348.5,4.89,59,55,1
349.0,4.86,60,55,1
349.5,4.91,60,55,1
350.0,4.89,60,55,1
350.5,4.89,60,55,1
351.0,4.91,60,55,1
351.5,4.97,60,55,1
352.0,4.97,60,55,1
352.5,4.97,60,55,1
353.0,5.0,61,54,1
353.5,5.03,61,54,1
354.0,4.97,61,54,1
354.5,5.0,61,54,1
366.0,4.23,53,57,1
366.5,4.23,53,56,1
367.0,4.23,54,56,1
367.5,4.26,54,56,1
368.0,4.29,54,56,1
368.5,4.23,54,56,1
369.0,4.29,54,56,1
369.5,4.35,54,56,1
370.0,4.38,54,56,1
370.5,4.32,54,56,1
371.0,4.35,55,56,1
371.5,4.41,55,56,1
372.0,4.41,55,56,1
372.5,4.47,55,56,1
373.0,4.44,55,56,1
373.5,4.44,55,56,1
374.0,4.47,55,55,1
374.5,4.47,55,55,1
375.0,4.5,56,55,1
375.5,4.53,56,55,1
376.0,4.53,56,55,1
376.5,4.53,56,54,1
377.0,4.59,56,54,1
377.5,4.62,56,54,1
378.0,4.62,56,54,1
378.5,4.59,57,54,1
379.0,4.62,57,53,1
379.5,4.65,57,53,1
380.0,4.68,57,53,1
380.5,4.74,57,53,1
381.0,4.68,57,53,1
381.5,4.71,57,52,1
382.0,4.74,57,52,1
382.5,4.71,58,53,1
383.0,4.71,58,53,1
383.5,4.74,58,53,1
384.0,4.71,58,53,1
384.5,4.8,58,53,1
385.0,4.8,58,54,1
385.5,4.8,58,54,1
386.0,4.83,58,54,1
386.5,4.8,59,54,1
387.0,4.8,59,54,1
387.5,4.8,59,55,1
388.0,4.86,59,55,1
388.5,4.89,59,55,1
389.0,4.89,59,55,1
389.5,4.89,59,55,1
390.0,4.86,60,55,1
390.5,4.91,60,55,1
391.0,4.89,60,55,1
391.5,4.89,60,55,1
392.0,4.91,60,55,1
392.5,4.97,60,55,1
393.0,4.97,60,55,1
393.5,4.97,60,55,1
394.0,5.0,61,54,1
394.5,5.03,61,54,1
395.0,4.97,61,54,1
395.5,5.0,61,54,1
396.0,4.23,54,56,1
396.5,4.26,54,56,1
397.0,4.29,54,56,1
397.5,4.23,54,56,1
398.0,4.29,54,56,1
398.5,4.35,54,56,1
399.0,4.38,54,56,1
399.5,4.32,54,56,1
400.0,4.35,55,56,1
400.5,4.41,55,56,1
401.0,4.41,55,56,1
401.5,4.47,55,56,1
402.0,4.44,55,56,1
402.5,4.44,55,56,1
403.0,4.47,55,55,1
403.5,4.47,55,55,1
404.0,4.5,56,55,1
404.5,4.53,56,55,1
405.0,4.53,56,55,1
405.5,4.53,56,54,1
406.0,4.59,56,54,1
406.5,4.62,56,54,1
407.0,4.62,56,54,1
407.5,4.59,57,54,1
408.0,4.62,57,53,1
408.5,4.65,57,53,1
409.0,4.68,57,53,1
409.5,4.74,57,53,1
410.0,4.68,57,53,1
410.5,4.71,57,52,1
411.0,4.74,57,52,1
411.5,4.71,58,53,1
412.0,4.71,58,53,1
412.5,4.74,58,53,1
413.0,4.71,58,53,1
413.5,4.8,58,53,1
414.0,4.8,58,54,1
414.5,4.8,58,54,1
415.0,4.83,58,54,1
415.5,4.8,59,54,1
416.0,4.8,59,54,1
416.5,4.8,59,55,1
417.0,4.86,59,55,1
417.5,4.89,59,55,1
418.0,4.89,59,55,1
418.5,4.89,59,55,1
419.0,4.86,60,55,1
419.5,4.91,60,55,1
420.0,4.89,60,55,1
420.5,4.89,60,55,1
421.0,4.91,60,55,1
421.5,4.97,60,55,1
422.0,4.97,60,55,1
422.5,4.97,60,55,1
423.0,5.0,61,54,1
423.5,5.03,61,54,1
424.0,4.97,61,54,1
424.5,5.0,61,54,1
425.0,4.23,54,56,1
