222,0.0,148,99,0.0
224,0.0,149,99,0.0
226,0.0,150,101,0.6000000000000001
228,0.002,151,100,0.0
230,0.002,153,100,4.2
232,0.002,154,99,3.6
234,0.0,155,99,4.2
236,0.0,156,100,4.800000000000001
238,0.002,157,100,4.2
240,0.002,159,99,4.2
242,0.002,160,100,3.6
244,0.0,161,100,3.6
246,0.0,162,100,2.4000000000000004
248,0.002,163,100,1.8
250,0.002,165,98,1.8
252,0.002,166,98,0.0
254,0.0,167,98,0.0
256,0.003,168,99,0.0
258,0.002,169,101,0.0
260,0.0,171,100,0.0
262,0.0,172,99,3.6
264,0.002,173,99,3.6
266,0.0,176,100,4.800000000000001
268,0.0,177,99,4.2
270,0.002,178,99,4.2
272,0.0,180,100,3.6
274,0.002,181,100,4.2
276,0.002,182,100,2.4000000000000004
278,0.002,183,99,1.8
280,0.0,184,97,1.8
282,0.002,185,97,0.0
284,0.002,187,98,0.0
286,0.002,188,99,0.0
288,0.0,189,101,0.0
290,0.002,190,99,0.0
292,0.0,193,99,3.6
294,0.0,194,99,4.2
296,0.0,195,100,4.800000000000001
298,0.0,197,100,4.2
300,0.002,198,100,4.2
302,0.002,199,100,3.6
304,0.0,200,100,3.6
306,0.0,201,100,2.4000000000000004
308,0.0,203,100,1.8
310,0.003,204,98,1.8
312,0.0,205,98,0.0
314,0.0,206,98,0.0
316,0.0,207,99,0.0
318,0.0,209,101,0.0
320,0.0,210,100,0.0
322,0.003,211,99,4.2
324,0.0,212,100,4.2
326,0.002,213,99,4.2
328,0.0,215,100,4.800000000000001
330,0.0,216,100,4.2
332,0.003,217,100,4.800000000000001
334,0.0,218,100,4.2
336,0.0,219,100,3.6
338,0.002,221,100,3.0
340,0.0,222,101,2.4000000000000004
342,0.0,223,99,1.8
344,0.005,224,98,0.0
346,0.0,225,99,0.0
348,0.002,227,99,0.0
350,0.0,228,101,0.0
352,0.002,229,101,0.0
354,0.0,230,100,2.4000000000000004
356,0.002,231,100,4.2
358,0.002,233,99,3.6
360,0.002,234,100,4.2
362,0.002,235,100,4.2
364,0.002,237,100,4.800000000000001
366,0.002,238,100,4.2
368,0.0,239,100,3.6
370,0.002,240,100,3.0
372,0.0,241,101,1.8
374,0.003,243,99,1.8
376,0.002,244,98,0.0
378,0.002,245,99,0.0
380,0.002,246,98,0.0
382,0.0,247,100,0.0
384,0.002,249,100,0.0
386,0.002,250,99,1.8
388,0.002,255,100,4.2
390,0.0,256,99,4.2
392,0.002,258,99,3.6
394,0.003,259,100,3.6
396,0.0,260,100,2.4000000000000004
398,0.006,261,100,1.8
400,0.002,262,98,1.8
402,0.005,264,98,0.0
404,0.002,265,99,0.0
406,0.002,266,99,0.0
408,0.003,267,101,0.0
410,0.003,268,100,0.0
412,0.002,270,99,3.0
414,0.002,273,99,4.2
416,0.002,274,100,4.800000000000001
418,0.005,275,100,4.2
420,0.003,276,99,4.2
422,0.002,277,100,3.6
424,0.002,279,100,3.6
426,0.003,280,100,2.4000000000000004
428,0.003,281,100,1.8
430,0.006,282,98,1.8
432,0.0,283,98,0.0
434,0.005,285,98,0.0
436,0.002,286,99,0.0
438,0.002,287,100,0.0
440,0.005,292,99,4.2
442,0.002,293,100,4.800000000000001
444,0.002,294,100,4.2
446,0.003,296,100,4.2
448,0.0,297,100,4.2
450,0.002,298,100,3.6
452,0.003,299,100,2.4000000000000004
454,0.003,301,100,1.8
456,0.0,302,98,1.8
458,0.003,303,98,0.0
460,0.003,304,98,0.0
462,0.0,305,99,0.0
464,0.0,306,101,0.0
466,0.002,308,100,0.0
468,0.002,309,99,3.6
470,0.002,310,100,4.2
472,0.002,311,99,3.6
474,0.002,312,99,4.800000000000001
476,0.002,314,100,4.800000000000001
478,0.0,315,100,4.800000000000001
480,0.002,316,99,4.2
482,0.002,317,100,3.6
484,0.0,318,100,3.6
486,0.002,320,100,1.8
488,0.0,324,99,0.0
490,0.002,326,100,0.0
492,0.002,327,101,0.0
494,0.003,328,100,0.6000000000000001
496,0.002,329,100,4.800000000000001
498,0.002,330,99,3.6
500,0.002,332,99,4.2
502,0.0,333,100,4.800000000000001
504,0.0,334,99,4.2
506,0.002,335,99,4.2
508,0.0,336,100,3.6
510,0.0,338,100,4.2
512,0.002,339,100,2.4000000000000004
514,0.002,340,99,1.8
516,0.0,341,98,1.8
518,0.002,342,98,0.0
520,0.002,344,99,0.0
522,0.0,345,100,0.0
524,0.003,346,101,0.6000000000000001
526,0.0,347,101,0.0
528,0.0,348,100,4.2
530,0.002,350,100,3.6
532,0.002,351,99,4.2
534,0.003,352,100,4.800000000000001
536,0.002,353,100,4.2
538,0.002,354,100,4.2
540,0.005,356,100,3.6
542,0.002,357,101,3.6
544,0.0,358,100,3.0
546,0.003,359,100,1.8
548,0.0,360,98,1.8
550,0.002,362,98,0.0
552,0.0,363,99,0.0
554,0.003,364,99,0.0
556,0.0,365,101,0.6000000000000001
558,0.0,366,101,0.0
560,0.0,368,99,3.0
562,0.0,369,100,4.2
564,0.002,370,99,3.6
566,0.002,371,100,4.800000000000001
568,0.002,372,100,4.800000000000001
570,0.002,374,100,4.800000000000001
572,0.003,375,100,4.2
574,0.0,376,100,3.6
